,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,3,26,5,19.2,0.93,0.18,0.08,0.40,21.7,3,1,1,2.1,1.3,0.05,0.9,0.7,Matches
2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,0,14,4,28.6,0.39,0.11,0.00,0.00,17.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,11.6,0,0,0,16.4,16.4,0.19,-1.4,-1.4,Matches
4,Che Adams,sct SCO,FW,Southampton,23,1996,12.3,4,36,9,25.0,2.92,0.73,0.11,0.44,15.2,0,0,0,5.3,5.3,0.15,-1.3,-1.3,Matches
5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,16.1,16,73,24,32.9,4.52,1.49,0.19,0.58,13.7,0,2,3,14.5,12.1,0.17,1.5,1.9,Matches
7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,1.5,0,3,0,0.0,1.94,0.00,0.00,,15.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,2,25,7,28.0,0.90,0.25,0.08,0.29,10.3,0,0,0,3.0,3.0,0.12,-1.0,-1.0,Matches
9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,9.6,0,10,2,20.0,1.04,0.21,0.00,0.00,20.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,2,16,4,25.0,0.49,0.12,0.13,0.50,12.6,0,0,0,0.7,0.7,0.05,1.3,1.3,Matches
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,22.6,13,0,0,2.8,2.8,0.06,1.2,1.2,Matches
12,Alisson,br BRA,GK,Liverpool,26,1992,28.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,20.5,8,41,18,43.9,2.00,0.88,0.17,0.39,14.9,0,1,1,8.1,7.3,0.18,-0.1,-0.3,Matches
14,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,33.6,4,56,17,30.4,1.67,0.51,0.07,0.24,16.2,0,0,0,6.7,6.7,0.12,-2.7,-2.7,Matches
15,Marcos Alonso,es ESP,DF,Chelsea,28,1990,15.9,4,30,8,26.7,1.89,0.50,0.13,0.50,16.5,1,0,0,2.6,2.6,0.09,1.4,1.4,Matches
16,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,13.2,0,13,3,23.1,0.98,0.23,0.00,0.00,18.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
17,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,8.4,0,6,1,16.7,0.71,0.12,0.00,0.00,17.6,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches
18,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,16.6,1,23,8,34.8,1.38,0.48,0.04,0.13,17.1,0,0,0,2.5,2.5,0.11,-1.5,-1.5,Matches
19,Florin Andone,ro ROU,FW,Brighton,26,1993,0.8,1,1,1,100.0,1.23,1.23,1.00,1.00,7.8,0,0,0,0.4,0.4,0.36,0.6,0.6,Matches
20,Angeliño,es ESP,DF,Manchester City,22,1997,4.7,0,5,0,0.0,1.06,0.00,0.00,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
21,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,1,0,0.0,4.50,0.00,0.00,,31.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
22,Michail Antonio,jm JAM,FW,West Ham,29,1990,19.6,10,67,30,44.8,3.41,1.53,0.13,0.30,13.7,0,1,1,12.9,12.1,0.19,-2.9,-3.1,Matches
23,Stuart Armstrong,sct SCO,MF,Southampton,27,1992,19.1,5,46,20,43.5,2.41,1.05,0.11,0.25,21.2,0,0,0,2.8,2.8,0.06,2.2,2.2,Matches
24,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,27,1992,8.3,0,5,1,20.0,0.60,0.12,0.00,0.00,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,22,91,40,44.0,2.61,1.15,0.22,0.50,15.5,2,2,2,14.7,13.2,0.14,7.3,6.8,Matches
27,Serge Aurier,ci CIV,DF,Tottenham,26,1992,30.0,1,13,4,30.8,0.43,0.13,0.08,0.25,19.1,0,0,0,0.5,0.5,0.04,0.5,0.5,Matches
28,Jordan Ayew,gh GHA,FW,Crystal Palace,27,1991,35.0,9,58,24,41.4,1.66,0.69,0.16,0.38,14.8,0,0,0,7.5,7.5,0.13,1.5,1.5,Matches
29,César Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2,29,6,20.7,0.81,0.17,0.07,0.33,13.8,0,0,0,2.4,2.4,0.08,-0.4,-0.4,Matches
30,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Leighton Baines,eng ENG,DF,Everton,34,1984,4.5,0,1,0,0.0,0.22,0.00,0.00,,31.0,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
32,Fabián Balbuena,py PAR,DF,West Ham,27,1991,13.1,1,10,4,40.0,0.76,0.31,0.10,0.25,8.9,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
33,George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38.0,2,13,4,30.8,0.34,0.11,0.15,0.50,16.9,0,0,0,0.6,0.6,0.05,1.4,1.4,Matches
34,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21.0,0,11,4,36.4,0.52,0.19,0.00,0.00,25.4,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
35,Ross Barkley,eng ENG,MF,Chelsea,25,1993,12.3,1,40,12,30.0,3.26,0.98,0.03,0.08,22.4,5,0,0,2.7,2.7,0.07,-1.7,-1.7,Matches
36,Ashley Barnes,eng ENG,FW,Burnley,29,1989,15.0,6,39,11,28.2,2.60,0.73,0.13,0.45,15.9,0,1,1,6.2,5.4,0.14,-0.2,-0.4,Matches
37,Harvey Barnes,eng ENG,"MF,FW",Leicester City,21,1997,23.1,6,61,28,45.9,2.64,1.21,0.10,0.21,16.7,0,0,0,8.1,8.1,0.13,-2.1,-2.1,Matches
38,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,0,6,0,0.0,0.17,0.00,0.00,,13.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
39,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,1,15,2,13.3,5.65,0.75,0.07,0.50,13.8,0,0,0,2.4,2.4,0.16,-1.4,-1.4,Matches
41,Jan Bednarek,pl POL,DF,Southampton,23,1996,34.0,1,7,1,14.3,0.21,0.03,0.14,1.00,7.8,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches
42,Héctor Bellerín,es ESP,"DF,MF",Arsenal,24,1995,12.9,1,7,2,28.6,0.54,0.16,0.14,0.50,16.9,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
43,Ryan Bennett,eng ENG,DF,Wolves,29,1990,6.7,0,1,0,0.0,0.15,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
44,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Nabil Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,0,4,0,0.0,0.48,0.00,0.00,,29.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
46,Christian Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,2,41,19,46.3,2.93,1.36,0.05,0.11,13.2,0,0,0,5.1,5.1,0.12,-3.1,-3.1,Matches
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,6.9,1,10,2,20.0,1.45,0.29,0.10,0.50,15.5,2,0,0,0.6,0.6,0.06,0.4,0.4,Matches
48,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,1,5,2,40.0,0.48,0.19,0.20,0.50,13.5,0,0,0,0.6,0.6,0.12,0.4,0.4,Matches
49,Steven Bergwijn,nl NED,"FW,MF",Tottenham,21,1997,7.8,3,9,4,44.4,1.15,0.51,0.33,0.75,15.1,0,0,0,1.0,1.0,0.12,2.0,2.0,Matches
50,Bernard,br BRA,"MF,FW",Everton,26,1992,14.2,3,12,5,41.7,0.84,0.35,0.25,0.60,16.6,1,0,0,1.8,1.8,0.15,1.2,1.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Bernardo,br BRA,"DF,MF",Brighton,24,1995,7.5,0,7,2,28.6,0.93,0.27,0.00,0.00,17.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
52,Ryan Bertrand,eng ENG,DF,Southampton,29,1989,30.5,1,18,3,16.7,0.59,0.10,0.06,0.33,19.4,1,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
53,Muhamed Bešić,ba BIH,MF,Sheffield Utd,26,1992,2.8,0,4,2,50.0,1.44,0.72,0.00,0.00,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
54,Philip Billing,dk DEN,MF,Bournemouth,23,1996,28.1,1,33,8,24.2,1.17,0.28,0.03,0.13,20.7,1,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
55,Yves Bissouma,ml MLI,MF,Brighton,22,1996,14.0,1,16,7,43.8,1.14,0.50,0.06,0.14,28.1,0,0,0,0.4,0.4,0.03,0.6,0.6,Matches
56,Willy Boly,ci CIV,DF,Wolves,28,1991,22.0,0,5,3,60.0,0.23,0.14,0.00,0.00,11.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
57,Gaëtan Bong,cm CMR,"DF,MF",Brighton,31,1988,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,Sofiane Boufal,ma MAR,"MF,FW",Southampton,25,1993,8.5,0,18,7,38.9,2.12,0.82,0.00,0.00,21.3,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
59,Jarrod Bowen,eng ENG,"FW,MF",West Ham,22,1996,10.2,1,24,7,29.2,2.36,0.69,0.04,0.14,18.0,0,0,0,2.3,2.3,0.09,-1.3,-1.3,Matches
60,Robbie Brady,ie IRL,MF,Burnley,27,1992,5.0,1,12,1,8.3,2.38,0.20,0.08,1.00,15.8,2,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
61,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Armando Broja,al ALB,FW,Chelsea,17,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,David Brooks,wls WAL,"MF,FW",Bournemouth,22,1997,5.6,1,6,2,33.3,1.07,0.36,0.17,0.50,23.9,1,0,0,0.5,0.5,0.08,0.5,0.5,Matches
65,Josh Brownhill,eng ENG,MF,Burnley,23,1995,8.9,0,6,0,0.0,0.67,0.00,0.00,,18.9,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
66,Emi Buendía,ar ARG,"FW,MF",Norwich City,22,1996,27.4,1,40,11,27.5,1.46,0.40,0.03,0.09,22.8,10,0,0,2.2,2.2,0.06,-1.2,-1.2,Matches
67,Dan Burn,eng ENG,DF,Brighton,27,1992,32.0,0,12,0,0.0,0.37,0.00,0.00,,13.4,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches
68,Sam Byram,eng ENG,DF,Norwich City,25,1993,14.4,0,15,2,13.3,1.04,0.14,0.00,0.00,11.4,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches
69,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,0,21,5,23.8,0.87,0.21,0.00,0.00,12.3,0,0,0,1.6,1.6,0.07,-1.6,-1.6,Matches
71,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,13,85,38,44.7,2.91,1.30,0.15,0.34,12.9,0,0,0,15.3,15.3,0.18,-2.3,-2.3,Matches
72,Víctor Camarasa,es ESP,FW,Crystal Palace,25,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
73,João Cancelo,pt POR,DF,Manchester City,25,1994,13.4,0,15,3,20.0,1.12,0.22,0.00,0.00,23.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
74,Todd Cantwell,eng ENG,"FW,MF",Norwich City,21,1998,27.7,6,42,16,38.1,1.52,0.58,0.14,0.38,16.1,0,0,0,5.4,5.4,0.13,0.6,0.6,Matches
75,Étienne Capoue,fr FRA,MF,Watford,31,1988,29.2,0,19,1,5.3,0.65,0.03,0.00,0.00,26.9,2,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,0,16,3,18.8,2.28,0.43,0.00,0.00,14.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
77,Jonny Castro,es ESP,"MF,DF",Wolves,25,1994,32.1,2,18,5,27.8,0.56,0.16,0.11,0.40,19.0,0,0,0,1.6,1.6,0.09,0.4,0.4,Matches
78,Craig Cathcart,nir NIR,DF,Watford,30,1989,27.6,0,2,1,50.0,0.07,0.04,0.00,0.00,10.8,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
79,Dani Ceballos,es ESP,MF,Arsenal,22,1996,18.8,0,13,3,23.1,0.69,0.16,0.00,0.00,22.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
80,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,10.3,0,9,0,0.0,0.87,0.00,0.00,,23.3,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
81,Calum Chambers,eng ENG,DF,Arsenal,24,1995,12.2,1,12,2,16.7,0.98,0.16,0.08,0.50,12.0,0,0,0,0.8,0.8,0.07,0.2,0.2,Matches
82,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,3,16,6,37.5,0.61,0.23,0.19,0.50,19.1,0,0,0,1.0,1.0,0.06,2.0,2.0,Matches
83,Tahith Chong,nl NED,"FW,DF",Manchester Utd,19,1999,0.4,0,1,0,0.0,2.43,0.00,0.00,,14.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
84,Hamza Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,1,7,2,28.6,0.71,0.20,0.14,0.50,16.2,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
85,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,19.5,0,7,2,28.6,0.36,0.10,0.00,0.00,12.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
86,Ciaran Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,2,6,4,66.7,0.46,0.30,0.33,0.50,8.3,0,0,0,1.3,1.3,0.21,0.7,0.7,Matches
87,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,0.4,0,1,0,0.0,2.57,0.00,0.00,,9.6,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches
88,Tom Cleverley,eng ENG,MF,Watford,29,1989,10.8,1,17,5,29.4,1.58,0.46,0.06,0.20,17.8,0,0,0,2.1,2.1,0.12,-1.1,-1.1,Matches
89,Conor Coady,eng ENG,DF,Wolves,26,1993,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Séamus Coleman,ie IRL,DF,Everton,30,1988,20.4,0,8,3,37.5,0.39,0.15,0.00,0.00,16.0,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
91,Aaron Connolly,ie IRL,FW,Brighton,19,2000,14.0,3,38,13,34.2,2.72,0.93,0.08,0.23,16.2,0,0,0,4.0,4.0,0.11,-1.0,-1.0,Matches
92,Lewis Cook,eng ENG,"MF,FW",Bournemouth,22,1997,15.0,0,9,2,22.2,0.60,0.13,0.00,0.00,25.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
93,Steve Cook,eng ENG,DF,Bournemouth,28,1991,27.0,1,11,2,18.2,0.41,0.07,0.09,0.50,12.1,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
94,Jack Cork,eng ENG,MF,Burnley,30,1989,29.0,0,18,5,27.8,0.62,0.17,0.00,0.00,15.1,0,0,0,2.0,2.0,0.11,-2.0,-2.0,Matches
95,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,30.3,3,17,5,29.4,0.56,0.17,0.18,0.60,21.7,7,0,0,1.4,1.4,0.08,1.6,1.6,Matches
96,Patrick Cutrone,it ITA,FW,Wolves,21,1998,3.3,2,11,4,36.4,3.33,1.21,0.18,0.50,13.8,0,0,0,2.2,2.2,0.20,-0.2,-0.2,Matches
97,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,20,1999,0.7,0,1,0,0.0,1.34,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.29,-0.3,-0.3,Matches
98,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Arnaut Danjuma,nl NED,MF,Bournemouth,22,1997,7.0,0,13,4,30.8,1.86,0.57,0.00,0.00,19.0,1,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
100,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,0,8,2,25.0,0.57,0.14,0.00,0.00,9.3,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Kevin Danso,at AUT,DF,Southampton,20,1998,3.1,0,1,0,0.0,0.32,0.00,0.00,,10.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
102,Ben Davies,wls WAL,DF,Tottenham,26,1993,15.9,0,7,1,14.3,0.44,0.06,0.00,0.00,23.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
103,Tom Davies,eng ENG,MF,Everton,21,1998,22.5,1,17,5,29.4,0.75,0.22,0.06,0.20,17.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
104,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,6.1,0,17,5,29.4,2.79,0.82,0.00,0.00,9.6,0,0,0,2.7,2.7,0.16,-2.7,-2.7,Matches
105,Craig Dawson,eng ENG,DF,Watford,29,1990,26.2,2,26,7,26.9,0.99,0.27,0.08,0.29,10.6,0,0,0,3.0,3.0,0.12,-1.0,-1.0,Matches
106,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,31.0,13,97,29,29.9,3.13,0.94,0.11,0.38,21.8,11,2,2,7.3,5.8,0.06,5.7,5.2,Matches
107,Troy Deeney,eng ENG,FW,Watford,31,1988,24.7,10,39,16,41.0,1.58,0.65,0.13,0.31,16.0,0,5,6,10.5,5.8,0.15,-0.5,-0.8,Matches
108,Fabian Delph,eng ENG,MF,Everton,29,1989,13.2,0,3,0,0.0,0.23,0.00,0.00,,30.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
109,Leander Dendoncker,be BEL,"MF,DF",Wolves,24,1995,31.1,4,20,5,25.0,0.64,0.16,0.20,0.80,14.7,0,0,0,1.8,1.8,0.09,2.2,2.2,Matches
110,Gerard Deulofeu,es ESP,FW,Watford,25,1994,23.3,4,63,20,31.7,2.70,0.86,0.05,0.15,18.8,8,1,1,6.3,5.5,0.09,-2.3,-2.5,Matches
111,Eric Dier,eng ENG,"DF,MF",Tottenham,25,1994,14.9,0,8,1,12.5,0.54,0.07,0.00,0.00,15.6,1,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
112,Lucas Digne,fr FRA,DF,Everton,26,1993,33.7,0,29,4,13.8,0.86,0.12,0.00,0.00,24.4,13,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
113,Issa Diop,fr FRA,DF,West Ham,22,1997,30.7,3,15,6,40.0,0.49,0.20,0.20,0.50,9.2,0,0,0,1.5,1.5,0.10,1.5,1.5,Matches
114,Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,10.3,2,20,7,35.0,1.94,0.68,0.10,0.29,18.1,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Matches
115,Matt Doherty,ie IRL,"MF,DF",Wolves,27,1992,31.5,4,35,15,42.9,1.11,0.48,0.11,0.27,11.2,0,0,0,6.9,6.9,0.20,-2.9,-2.9,Matches
116,Abdoulaye Doucouré,ml MLI,MF,Watford,26,1993,35.1,4,61,12,19.7,1.74,0.34,0.07,0.33,18.3,0,0,0,5.2,5.2,0.08,-1.2,-1.2,Matches
117,Tommy Doyle,eng ENG,MF,Manchester City,17,2001,0.2,0,1,1,100.0,5.63,5.63,0.00,0.00,20.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
118,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,0,2,0,0.0,0.69,0.00,0.00,,18.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
119,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,Josip Drmić,ch SUI,FW,Norwich City,26,1992,7.2,1,14,5,35.7,1.95,0.70,0.07,0.20,13.4,0,0,0,3.1,3.1,0.22,-2.1,-2.1,Matches
121,Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,8.0,0,10,3,30.0,1.24,0.37,0.00,0.00,22.1,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
123,Shane Duffy,ie IRL,DF,Brighton,27,1992,13.8,1,7,1,14.3,0.51,0.07,0.14,1.00,10.9,0,0,0,1.2,1.2,0.17,-0.2,-0.2,Matches
124,Paul Dummett,wls WAL,DF,Newcastle Utd,27,1991,13.6,0,2,2,100.0,0.15,0.15,0.00,0.00,20.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
125,Lewis Dunk,eng ENG,DF,Brighton,27,1991,35.9,3,31,10,32.3,0.86,0.28,0.10,0.30,11.8,5,0,0,4.5,4.5,0.15,-1.5,-1.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
126,Ederson,br BRA,GK,Manchester City,25,1993,34.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
127,John Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,2,27,4,14.8,0.76,0.11,0.07,0.50,9.4,0,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches
128,Harvey Elliott,eng ENG,DF,Liverpool,16,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
129,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,1,5,1,20.0,0.44,0.09,0.20,1.00,11.1,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
